university,year,citations,primary_topic,title,openalex_id
서울대,2025,16,Genomics and Rare Diseases,Assessing the performance of 28 pathogenicity prediction methods on rare single nucleotide variants in coding regions,https://openalex.org/W4412069511
서울대,2025,16,Genomics and Rare Diseases,"Exploring penetrance of clinically relevant variants in over 800,000 humans from the Genome Aggregation Database",https://openalex.org/W4415737697
서울대,2025,9,Genomics and Rare Diseases,Whole-genome sequencing analyses suggest novel genetic factors associated with Alzheimer’s disease and a cumulative effects model for risk liability,https://openalex.org/W4410739379
서울대,2025,7,Medical Imaging and Pathology Studies,Medical guidelines for fibrodysplasia ossificans progressiva,https://openalex.org/W4414378276
서울대,2025,6,Genomics and Rare Diseases,Machine learning models for pharmacogenomic variant effect predictions – recent developments and future frontiers,https://openalex.org/W4410601300
서울대,2025,4,Neurological disorders and treatments,Rare but Relevant? Assessing Variants in Dystonia‐Linked Genes in Parkinson's Disease,https://openalex.org/W4415077586
서울대,2025,4,Genomics and Rare Diseases,"Clinical utility of genome sequencing in rare diseases: lessons from a single-center study of 1,452 Korean families",https://openalex.org/W4417152941
서울대,2025,2,RNA modifications and cancer,Pangenome-based identification of cryptic pathogenic variants in undiagnosed rare disease patients,https://openalex.org/W4412353541
서울대,2025,2,Genomics and Rare Diseases,Wiedemann-Steiner syndrome: description of genetic profiles and clinical phenotypes of 10 Korean pediatric patients,https://openalex.org/W4414852443
서울대,2025,2,Genomics and Rare Diseases,Long-term kidney outcomes in patients with Kabuki syndrome,https://openalex.org/W4410800810
서울대,2025,2,Genomics and Rare Diseases,PRP: pathogenic risk prediction for rare nonsynonymous single nucleotide variants,https://openalex.org/W4410872764
서울대,2025,1,Genomics and Rare Diseases,Applying National Whole-genome Sequencing Findings for Rare Diseases in Clinical Practice: The Imperative of a Multidisciplinary Approach,https://openalex.org/W4414295513
서울대,2025,1,Genomics and Rare Diseases,Trio-Based Whole-Genome Sequencing for Critically Ill Pediatric Patients in Korea,https://openalex.org/W4411224403
서울대,2025,0,Urological Disorders and Treatments,Unique Dental and Craniofacial Manifestations of Hypoplastic Amelogenesis Imperfecta in a Patient With Prune Belly Syndrome: A Rare Case Report,https://openalex.org/W4414526988
서울대,2025,0,Lymphoma Diagnosis and Treatment,Primary Mucosa-Associated Lymphoid Tissue Lymphoma of the Lung: A Case Report,https://openalex.org/W4416294851
서울대,2025,0,Genomics and Rare Diseases,Trio-Based Whole-Genome Sequencing for Critically Ill Pediatric Patients in Korea,https://openalex.org/W4406583502
서울대,2025,0,Genetic and rare skin diseases.,Nevus lipomatosus superficialis mimicking ectopic breast tissue: A rare case report,https://openalex.org/W4407305483
서울대,2025,0,Genomics and Rare Diseases,Ending the Diagnostic Odyssey: Making Whole-Exome/Genome Sequencing the First-Line Test for Global Developmental Delay,https://openalex.org/W4411354781
서울대,2025,0,Genomics and Rare Diseases,Complex strabismus in a patient with KBG syndrome with 16q24.3 microdeletion,https://openalex.org/W4412707794
서울대,2025,0,Genomics and Rare Diseases,Additional file 2 of Assessing the performance of 28 pathogenicity prediction methods on rare single nucleotide variants in coding regions,https://openalex.org/W7110808662
서울대,2025,0,Genomics and Rare Diseases,Bone Marrow Failure as an Underrecognized Feature of KAT6A Syndrome,https://openalex.org/W7117302272
서울대,2025,0,Genomics and Rare Diseases,Advancing N = 1 therapies: Building ecosystems for personalized genetic medicine,https://openalex.org/W7126191701
서울대,2025,0,Genomics and Rare Diseases,Additional file 2 of Assessing the performance of 28 pathogenicity prediction methods on rare single nucleotide variants in coding regions,https://openalex.org/W7130699235
서울대,2024,198,Genomics and Rare Diseases,"Author Correction: A genomic mutational constraint map using variation in 76,156 human genomes",https://openalex.org/W4390878940
서울대,2024,10,Genomics and Rare Diseases,Characterizing Families of Pediatric Patients with Rare Diseases and Their Diagnostic Odysseys: A Comprehensive Survey Analysis from a Single Tertiary Center in Korea,https://openalex.org/W4399326202
서울대,2024,5,Genomics and Rare Diseases,Genomic testing for germline predisposition to hematologic malignancies,https://openalex.org/W4392589302
서울대,2024,5,Genomics and Rare Diseases,Heterozygous loss-of-function variants in DOCK4 cause neurodevelopmental delay and microcephaly,https://openalex.org/W4393161576
서울대,2024,5,Genomics and Rare Diseases,Etiological involvement of KCND1 variants in an X-linked neurodevelopmental disorder with variable expressivity,https://openalex.org/W4398147559
서울대,2024,5,Genomics and Rare Diseases,To treat or not to treat: CUBN-associated persistent proteinuria,https://openalex.org/W4402282571
서울대,2024,5,Genomics and Rare Diseases,Implementing genomic medicine in clinical practice for adults with undiagnosed rare diseases,https://openalex.org/W4404797642
서울대,2024,4,Genomics and Rare Diseases,Safe Utilization and Sharing of Genomic Data: Amendment to the Health and Medical Data Utilization Guidelines of South Korea,https://openalex.org/W4399436562
서울대,2024,4,Genomics and Rare Diseases,Navigating the landscape of clinical genetic testing: insights and challenges in rare disease diagnostics,https://openalex.org/W4392237427
서울대,2024,4,Genetic and rare skin diseases.,"Nevus Spilus, Partial Unilateral Lentiginosis, and Linear and Whorled Nevoid Hypermelanosis: A Comparison of Clinical Features, Course, and Treatment Response",https://openalex.org/W4401824336
서울대,2024,3,Genomics and Rare Diseases,Broadening the scope of multigene panel analysis for adult epilepsy patients,https://openalex.org/W4400215614
서울대,2024,2,Genetic and rare skin diseases.,A Family With Nail-Patella Syndrome Caused by a Germline Mosaic Deletion of LMX1B,https://openalex.org/W4400895853
서울대,2024,2,Genomics and Rare Diseases,Digital Phenotyping of Rare Endocrine Diseases Across International Data Networks and the Effect of Granularity of Original Vocabulary,https://openalex.org/W4405019259
서울대,2024,1,Genomics and Rare Diseases,Understanding and managing patients with adult rare diseases,https://openalex.org/W4400135594
서울대,2024,0,Neonatal Respiratory Health Research,A Rare Case of Prolonged Survival of a Child Diagnosed With Childhood Interstitial Lung Disease (chILD) Associated With a Pathogenic Variant of Surfactant Protein B (sftb) Gene,https://openalex.org/W4396500439
서울대,2024,0,Genomics and Rare Diseases,Genomic Medicine in Clinical Practice for Adults: A Comprehensive Analysis of a Prospective Cohort with Undiagnosed Rare Diseases,https://openalex.org/W4396620494
서울대,2024,0,Genomics and Rare Diseases,Analytical and clinical validation of a genome sequencing-based comprehensive rare disease genomic profiling test,https://openalex.org/W4403628575
서울대,2023,37,Genomics and Rare Diseases,Inferring compound heterozygosity from large-scale exome sequencing data,https://openalex.org/W4389391230
서울대,2023,36,Genomics and Rare Diseases,"A whole-genome reference panel of 14,393 individuals for East Asian populations accelerates discovery of rare functional variants",https://openalex.org/W4385690098
서울대,2023,21,Genomics and Rare Diseases,"ATP2B2 de novo variants as a cause of variable neurodevelopmental disorders that feature dystonia, ataxia, intellectual disability, behavioral symptoms, and seizures",https://openalex.org/W4386424938
서울대,2023,9,Genomics and Rare Diseases,The Korean Genetic Diagnosis Program for Rare Disease Phase II: outcomes of a 6-year national project,https://openalex.org/W4383375536
