group,core15,category,track,category_name,window,n_pubmed,share_kr_pct,activity_index,growth_pct_2125_vs_1620,n_dump_K,n_dump_T,world_share_permille_K,fwci_mean_K,fwci_mean_T,fwci_ge2_pct_K
서울대,Y,M1,M,알츠하이머·신경퇴행질환 질병조절 치료,2016-2025,1228,17.2569,1.0403,44.6215,527,1015,3.7337,2.1753,1.9681,30.8571
서울대,Y,M2,M,난치암 근본치료 (췌장암·교모세포종·담도암·소세포폐암),2016-2025,2177,24.8119,1.4958,16.8327,962,908,8.1514,3.7927,2.0104,30.1455
서울대,Y,M3,M,암 조기발견 (다중암 조기검출·액체생검),2016-2025,517,22.5371,1.3587,48.5577,116,174,3.5568,3.4849,1.9099,28.9474
서울대,Y,M4,M,중추신경 손상 회복 (척수손상·신경재생·뇌-기계 인터페이스),2016-2025,76,15.9664,0.9625,-23.2558,7,285,1.6568,1.7728,1.8285,42.8571
서울대,Y,M5,M,중증 정신질환 정밀치료 (치료저항성 우울증·조현병·자살),2016-2025,198,22.1973,1.3382,32.9412,219,175,2.4997,1.8804,2.3431,27.3973
서울대,Y,M6,M,팬데믹 대비 범용 백신·신속 대응 플랫폼,2016-2025,126,16.2581,0.9801,1375.0,12,169,2.0488,2.2607,1.666,25.0
서울대,Y,M7,M,항생제 내성 극복 (신규 항균제·대체요법),2016-2025,349,12.6358,0.7618,1.7341,97,289,1.8444,1.5483,1.594,31.5789
서울대,Y,M8,M,생체 내 유전자치료·유전자편집,2016-2025,779,16.2224,0.978,-1.7812,164,367,3.3509,2.3159,5.3778,35.1852
서울대,Y,M9,M,"세포치료 플랫폼 (고형암·자가면역 CAR-T, iPSC 유래 치료)",2016-2025,150,17.341,1.0454,112.5,90,524,3.1172,1.8562,2.2354,22.2222
서울대,Y,M10,M,장기 재생·이종장기·인공장기,2016-2025,397,21.3901,1.2895,-24.3363,13,892,4.1935,2.1587,1.7662,30.7692
서울대,Y,M11,M,노쇠·노화 중재 (geroscience),2016-2025,420,14.4033,0.8683,65.8228,176,278,4.5692,1.9907,2.1894,31.4286
서울대,Y,R1,R,희귀질환 분야 수준 (R-1: 정책·진단체계·유전체 진단·희귀의약품),2016-2025,405,20.1292,1.2135,5.5838,15,410,1.7222,4.2003,6.3419,40.0
서울대,Y,RG1,R,신경계 희귀질환,2016-2025,172,23.7241,1.4302,0.0,15,,2.331,0.5116,,0.0
서울대,Y,RG2,R,신경발달·뇌전증뇌병증,2016-2025,31,15.9794,0.9633,-17.6471,6,,1.4022,1.4689,,50.0
서울대,Y,RG3,R,신경근육,2016-2025,95,19.7917,1.1932,26.1905,28,,1.9763,0.8557,,14.2857
서울대,Y,RG4,R,대사·리소좀축적병,2016-2025,196,21.3508,1.2871,8.5106,3,,0.388,1.0484,,33.3333
서울대,Y,RG5,R,미토콘드리아,2016-2025,46,22.439,1.3528,55.5556,2,,1.1723,0.0407,,0.0
서울대,Y,RG6,R,혈액·응고,2016-2025,55,17.7994,1.073,3.7037,11,,0.4398,2.5009,,36.3636
서울대,Y,RG7,R,면역·전신류마티스,2016-2025,190,16.6375,1.003,6.5217,3,,0.7673,0.5364,,0.0
서울대,Y,RG8,R,안과,2016-2025,74,38.5417,2.3235,211.1111,20,,7.1378,0.8603,,15.0
서울대,Y,RG9,R,피부·결합조직·골격,2016-2025,36,24.6575,1.4865,25.0,12,,1.7929,1.0647,,16.6667
서울대,Y,RG10,R,신장·비뇨기,2016-2025,130,46.4286,2.799,20.339,38,,10.6682,4.1255,,21.0526
서울대,Y,RG11,R,내분비·성장·염색체,2016-2025,30,25.2101,1.5198,100.0,11,,2.9722,0.834,,9.0909
서울대,Y,RG12,R,심장·순환기,2016-2025,128,28.3814,1.711,90.9091,38,,2.8636,2.286,,34.2105
서울대,Y,RG13,R,희귀암·소아암,2016-2025,187,16.0929,0.9702,-18.4466,40,,1.9098,1.5426,,5.0
서울대,Y,RG14,R,미진단·극희귀,2016-2025,17,34.6939,2.0916,12.5,1,,2.0619,0.0,,0.0
서울대,Y,RG15,R,이비인후과,2016-2025,177,23.1675,1.3967,-7.6087,19,,6.199,1.5767,,26.3158
서울대,Y,RG16,R,간·소화기,2016-2025,29,14.9485,0.9012,-18.75,8,,3.043,2.0135,,37.5
서울대,Y,RG17,R,호흡기,2016-2025,40,19.802,1.1938,-26.087,3,,0.1848,1.9065,,33.3333
서울대,Y,P3,P,RNA·올리고뉴클레오타이드 치료 (희귀질환 교차 플랫폼),2016-2025,475,14.1033,0.8502,-56.4955,12,,1.993,4.005,,66.6667
서울대,Y,P4,P,효소대체요법·분자표적 정밀치료 (희귀질환 고유),2016-2025,13,15.4762,0.933,-14.2857,3,,3.012,2.0729,,33.3333
서울대,Y,P5,P,유전체 진단·신생아선별검사 (희귀질환 고유),2016-2025,696,26.9767,1.6263,3.5088,56,,4.3939,1.3529,,17.8571
연세대,Y,M1,M,알츠하이머·신경퇴행질환 질병조절 치료,2016-2025,692,9.7246,0.8676,41.958,345,627,2.4443,2.3038,1.7975,31.686
연세대,Y,M2,M,난치암 근본치료 (췌장암·교모세포종·담도암·소세포폐암),2016-2025,1588,18.0989,1.6147,33.8733,597,503,5.0586,2.2924,1.4381,27.0588
연세대,Y,M3,M,암 조기발견 (다중암 조기검출·액체생검),2016-2025,430,18.7446,1.6723,52.9412,93,79,2.8515,1.4011,1.8705,17.2043
연세대,Y,M4,M,중추신경 손상 회복 (척수손상·신경재생·뇌-기계 인터페이스),2016-2025,52,10.9244,0.9746,-20.6897,8,218,1.8935,1.4577,1.9928,12.5
연세대,Y,M5,M,중증 정신질환 정밀치료 (치료저항성 우울증·조현병·자살),2016-2025,69,7.7354,0.6901,65.3846,171,67,1.9519,2.2741,4.1936,25.8824
연세대,Y,M6,M,팬데믹 대비 범용 백신·신속 대응 플랫폼,2016-2025,94,12.129,1.0821,387.5,5,103,0.8537,0.3922,1.7949,0.0
연세대,Y,M7,M,항생제 내성 극복 (신규 항균제·대체요법),2016-2025,287,10.391,0.9271,-0.6944,51,165,0.9697,1.8586,1.1443,19.6078
연세대,Y,M8,M,생체 내 유전자치료·유전자편집,2016-2025,690,14.369,1.282,-1.7241,81,105,1.655,2.9812,2.2905,45.0
연세대,Y,M9,M,"세포치료 플랫폼 (고형암·자가면역 CAR-T, iPSC 유래 치료)",2016-2025,112,12.948,1.1552,129.4118,66,206,2.286,0.9396,1.5942,13.6364
연세대,Y,M10,M,장기 재생·이종장기·인공장기,2016-2025,223,12.0151,1.072,34.7368,5,549,1.6129,0.9908,1.6329,20.0
연세대,Y,M11,M,노쇠·노화 중재 (geroscience),2016-2025,331,11.3512,1.0127,163.7363,166,200,4.3096,1.7367,1.653,29.0909
