group,core15,dump_affiliation_names,pubmed_affiliation_terms,openalex_lineage_ids
서울대,Y,Seoul National University | Seoul National University Hospital | Seoul National University Bundang Hospital | SNUH SMG-SNU Boramae Medical Center | Seoul National University Children's Hospital,"""Seoul National University""[ad] OR ""Boramae Medical Center""[ad]",I139264467 | I2802835388 | I2803058125
연세대,Y,Yonsei University | Severance Hospital | Gangnam Severance Hospital | Yonsei University Health System | Wonju Severance Christian Hospital | Yongin Severance Hospital,"""Yonsei University""[ad] OR Severance[ad]",I193775966 | I4210160791 | I2799970807 | I4210144108
성균관대,Y,Sungkyunkwan University | Samsung Medical Center | Kangbuk Samsung Hospital | Samsung Changwon Hospital,"""Sungkyunkwan University""[ad] OR ""Samsung Medical Center""[ad] OR ""Kangbuk Samsung""[ad] OR ""Samsung Changwon""[ad]",I848706 | I2802194831
가톨릭대,Y,Catholic University of Korea | The Catholic University of Korea Catholic Medical Center | The Catholic University of Korea Seoul St. Mary's Hospital | The Catholic University of Korea St. Vincent's Hospital | The Catholic University of Korea Uijeongbu St. Mary's Hospital | The Catholic University of Korea Yeouido St. Mary's Hospital | The Catholic University of Korea Incheon St. Mary's Hospital | The Catholic University of Korea Bucheon St. Mary's Hospital | The Catholic University of Korea Daejeon St. Mary's Hospital | The Catholic University of Korea Eunpyeong St. Mary's Hospital,"""Catholic University of Korea""[ad]",I87111246 | I4405260414 | I4210160144
울산대,Y,University of Ulsan | Asan Medical Center | Ulsan College | Ulsan University Hospital | Gangneung Asan Hospital,"""University of Ulsan""[ad] OR ""Asan Medical Center""[ad] OR ""Ulsan University Hospital""[ad] OR ""Gangneung Asan""[ad]",I40542001 | I2801680663
고려대,Y,Korea University | Korea University Medical Center | Korea University Anam Hospital | Korea University Guro Hospital | Korea University Ansan Hospital,"""Korea University""[ad]",I197347611 | I2799980853
경희대,Y,Kyung Hee University | Kyung Hee University Medical Center | Kyung Hee University Hospital at Gangdong | Kyung Hee University Healthcare System,"""Kyung Hee University""[ad]",I35928602
전남대,Y,Chonnam National University | Chonnam National University Hospital | Chonnam National University Hwasun Hospital,"""Chonnam National University""[ad]",I111277659 | I4210092150
인제대,N,Inje University | Inje University Paik Hospital | Inje University Busan Paik Hospital | Inje University Ilsan Paik Hospital | Inje University Haeundae Paik Hospital | Inje University Sanggye Paik Hospital | Inje University Seoul Paik Hospital,"""Inje University""[ad] OR ""Paik Hospital""[ad]",I104338594 | I4405258751
경북대,Y,Kyungpook National University | Kyungpook National University Hospital | Kyungpook National University Medical Center | Kyungpook National University Chilgok Hospital,"""Kyungpook National University""[ad]",I31419693
부산대,Y,Pusan National University | Pusan National University Hospital | Pusan National University Yangsan Hospital,"""Pusan National University""[ad]",I4921948
한양대,Y,Hanyang University | Hanyang University Seoul Hospital | Hanyang University Medical Center | Hanyang University Guri Hospital,"""Hanyang University""[ad]",I4575257
순천향대,N,Soonchunhyang University | Soonchunhyang University Hospital Seoul | Soonchunhyang University Hospital | Soonchunhyang University Bucheon Hospital | Soonchunhyang University Cheonan Hospital,"""Soonchunhyang University""[ad] OR ""Soon Chun Hyang""[ad]",I24541011
아주대,N,Ajou University | Ajou University Hospital | Ajou University Medical Center,"""Ajou University""[ad]",I57664883
이화여대,N,Ewha Womans University | Ewha Womans University Medical Center | Ewha Womans University Mokdong Hospital | Ewha Womans University Seoul Hospital,"""Ewha Womans University""[ad]",I138925566
중앙대,Y,Chung-Ang University | Chung-Ang University Hospital | Chung-Ang University Gwangmyeong Hospital,"""Chung-Ang University""[ad]",I67900169
충남대,Y,Chungnam National University | Chungnam National University Hospital | Chungnam National University Sejong Hospital,"""Chungnam National University""[ad]",I196345858
가천대,Y,Gachon University | Gachon University Gil Medical Center,"""Gachon University""[ad] OR ""Gil Medical Center""[ad]",I12832649
한림대,N,Hallym University | Hallym University Medical Center | Hallym University Sacred Heart Hospital | Hallym University Kangnam Sacred Heart Hospital | Hallym University Dongtan Sacred Heart Hospital | Hallym University Chuncheon Sacred Heart Hospital,"""Hallym University""[ad]",
건국대,Y,Konkuk University | Konkuk University Medical Center,"""Konkuk University""[ad]",
인하대,N,Inha University | Inha University Hospital,"""Inha University""[ad]",
전북대,N,Jeonbuk National University | Jeonbuk National University Hospital | Chonbuk National University | Chonbuk National University Hospital,"""Jeonbuk National University""[ad] OR ""Chonbuk National University""[ad]",
