group,core15,category,track,category_name,window,n_pubmed,share_kr_pct,activity_index,growth_pct_2125_vs_1620,n_dump_K,n_dump_T,world_share_permille_K,fwci_mean_K,fwci_mean_T,fwci_ge2_pct_K
서울대,Y,R,R,희귀질환,2021-2025,79,18.0778,1.106,-7.0588,9,341,1.7489,1.9744,3.8325,44.4444
서울대,Y,M1,M,알츠하이머·신경퇴행 질병조절,2021-2025,1306,18.9413,1.1588,30.6,447,863,3.6644,2.2148,1.9944,30.5618
서울대,Y,M2,M,난치암 근본치료(대체정의: 췌장암·교모세포종·불응성암),2021-2025,535,25.452,1.5571,19.1537,336,766,6.4975,1.6033,1.949,19.3452
서울대,Y,M3,M,암 조기발견·액체생검,2021-2025,359,21.6395,1.3239,45.3441,120,151,3.6277,3.3449,1.9461,27.7311
서울대,Y,M4,M,척수손상·신경재생·BCI,2021-2025,114,13.5071,0.8263,-9.5238,32,235,1.7416,1.4777,1.9883,32.2581
서울대,Y,M5,M,중증 정신질환 정밀치료,2021-2025,311,23.9599,1.4658,26.9388,81,146,2.0797,2.1445,2.53,29.6296
서울대,Y,M6,M,팬데믹 대비 범용 백신·플랫폼,2021-2025,131,16.1728,0.9894,627.7778,7,142,1.4746,3.3499,1.5777,42.8571
서울대,Y,M7,M,항생제 내성 극복,2021-2025,295,12.0852,0.7393,15.2344,72,247,1.6178,1.8005,1.7043,38.0282
서울대,Y,M8,M,생체 내 유전자치료·편집,2021-2025,398,18.9885,1.1617,35.3741,123,292,3.8815,2.2717,1.8978,37.7049
서울대,Y,M9,M,세포치료 플랫폼,2021-2025,464,16.9035,1.0341,-3.5343,157,453,3.5114,1.6074,2.1686,25.4777
서울대,Y,M10,M,장기 재생·이종장기·인공장기,2021-2025,470,15.7086,0.961,18.0905,122,736,4.9955,2.9676,1.7692,49.5868
서울대,Y,M11,M,노쇠·노화 중재,2021-2025,380,17.1248,1.0477,78.4038,134,238,4.0816,2.9302,2.3036,32.3308
연세대,Y,R,R,희귀질환,2021-2025,51,11.6705,1.0174,4.0816,2,201,0.3887,1.6243,1.3753,50.0
연세대,Y,M1,M,알츠하이머·신경퇴행 질병조절,2021-2025,852,12.3568,1.0772,40.3624,275,533,2.2544,2.5021,1.8208,34.6715
연세대,Y,M2,M,난치암 근본치료(대체정의: 췌장암·교모세포종·불응성암),2021-2025,403,19.1722,1.6714,18.8791,252,431,4.8731,1.3543,1.4174,23.9044
연세대,Y,M3,M,암 조기발견·액체생검,2021-2025,293,17.6612,1.5396,46.5,101,71,3.0533,1.5696,1.9763,19.802
연세대,Y,M4,M,척수손상·신경재생·BCI,2021-2025,94,11.1374,0.9709,34.2857,38,186,2.0681,2.0818,2.1084,26.3158
연세대,Y,M5,M,중증 정신질환 정밀치료,2021-2025,111,8.5516,0.7455,8.8235,24,53,0.6162,5.6232,4.9644,29.1667
연세대,Y,M6,M,팬데믹 대비 범용 백신·플랫폼,2021-2025,98,12.0988,1.0547,345.4545,5,94,1.0533,0.3922,1.8936,0.0
연세대,Y,M7,M,항생제 내성 극복,2021-2025,213,8.7259,0.7607,-17.1206,41,138,0.9213,2.0146,1.2025,21.9512
연세대,Y,M8,M,생체 내 유전자치료·편집,2021-2025,167,7.9676,0.6946,21.8978,47,88,1.4832,2.5649,2.3273,40.4255
연세대,Y,M9,M,세포치료 플랫폼,2021-2025,294,10.7104,0.9337,-5.1613,72,168,1.6103,1.6561,1.4961,26.3889
연세대,Y,M10,M,장기 재생·이종장기·인공장기,2021-2025,407,13.6029,1.1858,105.5556,75,447,3.071,3.7895,1.6075,45.9459
연세대,Y,M11,M,노쇠·노화 중재,2021-2025,352,15.863,1.3829,142.7586,162,176,4.9345,1.7251,1.6838,29.8137
성균관대,Y,R,R,희귀질환,2021-2025,45,10.2975,1.1847,15.3846,1,133,0.1943,0.0,4.7306,0.0
성균관대,Y,M1,M,알츠하이머·신경퇴행 질병조절,2021-2025,705,10.2248,1.1763,28.4153,143,329,1.1723,2.4242,1.8241,29.3706
성균관대,Y,M2,M,난치암 근본치료(대체정의: 췌장암·교모세포종·불응성암),2021-2025,273,12.9876,1.4941,-4.2105,104,289,2.0111,1.5888,1.2181,21.1538
성균관대,Y,M3,M,암 조기발견·액체생검,2021-2025,277,16.6968,1.9209,27.6498,77,75,2.3278,2.2596,1.7037,27.2727
성균관대,Y,M4,M,척수손상·신경재생·BCI,2021-2025,63,7.4645,0.8587,96.875,25,120,1.3606,2.1512,2.6101,37.5
성균관대,Y,M5,M,중증 정신질환 정밀치료,2021-2025,153,11.7874,1.3561,7.7465,33,55,0.8473,15.8913,1.2441,24.2424
성균관대,Y,M6,M,팬데믹 대비 범용 백신·플랫폼,2021-2025,80,9.8765,1.1362,900.0,0,62,0.0,,2.6965,
성균관대,Y,M7,M,항생제 내성 극복,2021-2025,186,7.6198,0.8766,-9.7087,21,133,0.4719,1.5677,1.4229,19.0476
성균관대,Y,M8,M,생체 내 유전자치료·편집,2021-2025,165,7.8721,0.9056,139.1304,29,57,0.9151,3.4082,1.7872,37.931
성균관대,Y,M9,M,세포치료 플랫폼,2021-2025,327,11.9126,1.3705,31.8548,95,209,2.1247,2.0277,2.5109,27.6596
성균관대,Y,M10,M,장기 재생·이종장기·인공장기,2021-2025,300,10.0267,1.1535,78.5714,91,375,3.7261,2.1478,1.3367,31.8681
성균관대,Y,M11,M,노쇠·노화 중재,2021-2025,165,7.4358,0.8554,135.7143,40,70,1.2184,1.3077,2.003,17.9487
가톨릭대,Y,R,R,희귀질환,2021-2025,40,9.1533,1.6756,17.6471,2,129,0.3887,0.0,1.5084,0.0
가톨릭대,Y,M1,M,알츠하이머·신경퇴행 질병조절,2021-2025,374,5.4242,0.993,25.9259,161,304,1.3198,1.7459,1.2779,22.3602
가톨릭대,Y,M2,M,난치암 근본치료(대체정의: 췌장암·교모세포종·불응성암),2021-2025,191,9.0866,1.6634,50.3937,99,235,1.9144,1.3116,2.0671,22.2222
가톨릭대,Y,M3,M,암 조기발견·액체생검,2021-2025,165,9.9458,1.8207,58.6538,59,99,1.7836,2.9769,1.5344,32.2034
